Open,Consci,Extra,Agree,Neuro,Ethics,Crisis,Creat,Team,Account,Fnl,Res,Teach,Extn,Commu,Leader,Attit,Know,Competency,Ability
3.88,4.5,1.5,3.67,2.38,3.83,1.25,1,3.67,4,2,1,3.29,1,1.75,2.75,2.27,0.23,21.78,15.5
2.63,3.17,3.5,4.33,3.5,2.92,4,4.5,3.78,3.4,3,3.8,2.36,1,3.38,3,2.73,0.13,25.78,21.25
2.25,3,4,3.67,3.88,3.5,3,3.25,3.89,3,3.25,3.27,3.07,1,3.25,3,2.73,0,25.33,18.75
1.63,2.5,2.25,4.83,2.75,4,1.5,2.75,4.11,4.4,2.5,1.6,4.29,2.63,2.63,3.5,2.73,0.77,26.11,19
2.63,3.83,4,4.5,3.38,3.5,2.5,2,2.67,3.4,2.5,3.13,2.57,3.88,3.25,2.25,3.35,0.57,27.06,14.75
4.38,3,4,4.33,3.88,3.25,4,2,3.78,2.6,4.5,1.33,3.36,2.63,3.75,2.5,3.31,0.47,27.33,17.75
3.5,3,4,4.17,3,4.08,4,4,4.11,3.6,3.75,4,3.43,4.5,3.25,3.5,2.85,0.43,30.39,21.75
2.38,3.33,4,3.67,2.25,4,3.5,3.25,3,3.8,4,4.2,3,3.38,3.63,3.25,2.54,0.8,28.28,18.25
3.38,3.33,4.5,4.33,2.38,3.58,4,4,2.78,2.2,3.75,3.47,2.07,1,4.13,3.13,2.27,0.5,25.39,17
4,1.67,3.25,3.67,2.5,3.17,1.5,3,1.78,2,2,3.53,2.5,1,3.25,1.38,3.19,0.57,23.33,11
1.88,3.17,4.5,4.17,2.75,3.08,3.5,3,2.44,3.6,4,4.53,2.93,3.88,3,3.63,2.92,0,27.06,16.5
3.75,3.83,4,4,3.5,2.58,1.5,2.75,3.33,2.6,2.75,3.2,3.14,2.75,2.88,2.38,2.5,0.43,25.39,15
3,2.33,2.5,3.17,3,2.33,2.5,2.25,2.33,1.6,3.5,1.93,2.5,3,3.5,2.88,2.58,0.13,21.72,12
1.63,2.33,2.75,3.33,2.25,2.92,1,1.25,1.67,2.8,2,1.13,2.07,4.13,1.75,2.88,2.38,0.07,18.72,9.5
1.63,3.83,4,4.33,3.75,4.17,3.25,3.25,3.44,4.4,2.75,3.07,3.71,3.25,2.63,3.5,2.27,0,26.67,19.75
